Origin,Dest,Price/Ticket,Miles
PHL,LAX,269.14,2402
PHL,SAN,373.52,2370
PHL,SFO,358.33,2521
PHL,AUS,268.94,1430
PHL,BOS,204.8,280
PHL,MIA,228.32,1013
PHL,ORD,289.74,678
PHL,LGA,354.03,96
PHL,CLT,307.38,449
PHL,TPA,201.38,920
PHL,DFW,288.52,1303
PHL,LAS,260.2,2176
PHL,MCI,257.3,1038
PHL,MCO,188.23,861
PHL,FLL,176,992
PHL,MSY,249.6,1089
PHL,PBI,255.05,951
PHL,PHX,314.37,2075
PHL,RSW,235.15,993
PHL,MEM,71.44,875
PHL,MHT,259.36,289
PHL,SJU,254.25,1576
PHL,SLC,312.23,1927
PHL,MSP,292.04,980
PHL,SAT,234.35,1496
PHL,CLE,331.31,363
PHL,DEN,238.18,1558
PHL,SEA,322.47,2378
PHL,RDU,235.16,337
PHL,SMF,284.43,2458
PHL,DTW,230.47,453
PHL,PIT,319.53,268
PHL,PVD,267.52,237
PHL,ATL,207.93,666
PHL,BNA,193.74,675
PHL,DCA,336.39,119
PHL,STL,243.74,814
PHL,ABQ,225.15,1747
PHL,BOI,304.69,2113
PHL,JFK,313.27,94
PHL,EWR,156,80
PHL,JAX,228.74,742
PHL,CMH,338.28,406
PHL,OMA,131.51,1088
PHL,PDX,284.78,2406
PHL,DSM,188.91,972
PHL,GEG,329.74,2155
PHL,IND,93.05,588
PHL,MKE,154.37,690
PHL,IAH,331.17,1325
PHL,SJC,238.77,2504
PHL,SNA,236,2380
PHL,OGG,467.64,4859
PHL,RNO,267.64,2348
PHL,OAK,299.92,2511
PHL,ONT,221.5,2356
PHL,SAV,83.7,629
PHL,PNS,203.15,935
PHL,PWM,294.58,364
PHL,BDL,326.39,196
PHL,TUL,256.58,1152
PHL,TUS,436.23,2056
PHL,ILM,228.56,413
PHL,IAD,175.11,135
PHL,CVG,69.74,507
PHL,GSP,206.78,515
PHL,STT,534.76,1605
PHL,EGE,351.37,1678
PHL,ICT,190.1,1205
PHL,LBB,203.06,1529
PHL,SRQ,119.67,957
PHL,CHS,152.79,550
PHL,OKC,574.45,1261
